variety_name,detail_url,jina,zao,crop_common,crop_scientific,crop_full_name,mwaka_usajili,registrant,altitude_range,altitude_min,altitude_max,suitable_regions,grain_yield,grain_yield_min,grain_yield_max,distinctive_characters,days_to_tasseling,plant_height_cm,grain_size,stem_colour,additional_fields
IR 54,https://www.tosci.go.tz/seed-varieties/ir-54,IR 54,Paddy (Oryza sativa),Paddy,Oryza sativa,Paddy (Oryza sativa),1980’s,KATRIN,400-600,400.0,600.0,"Morogoro, Kilimanjaro, Pwani, Tanga, Lindi, Mtwara",4.0-7.0,4.0,7.0,"Leaf blade, pubescence:intermediate, Leaf angle:erect,Auricle, colur:pale green, Days to heading:93-100,Culm angle:intermediate, Flage leaf angle:erect, Panicle type: intermediate, Second branching:heavy, Awn presence:long and partly awned, Awn colur:gold, Grain shape: some white belly, Seed coat colour:white, Scent (aroma):aromatic.",,,,,"{""Special Attributes"": ""Moderately resistant to blight and sheath rot""}"
ITAI F1,https://www.tosci.go.tz/seed-varieties/itai-f1,ITAI F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2024,EASI Seeds Tanzania Ltd,,,,,,,,,,,,,{}
Italian giant,https://www.tosci.go.tz/seed-varieties/italian-giant,Italian giant,Leek (Allium porrum  ),Leek,Allium porrum,Leek (Allium porrum  ),2021,REGINA SEED LTD,,,,,,,,,,,,,{}
JAMBAR,https://www.tosci.go.tz/seed-varieties/jambar,JAMBAR,Onion (Allium cepa L  ),Onion,Allium cepa L,Onion (Allium cepa L  ),2021,MONSANTO TANZANIA LTD,,,,,,,,,,,,,{}
JAMBARAU,https://www.tosci.go.tz/seed-varieties/jambarau,JAMBARAU,Egg plant,Egg plant,,Egg plant,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
JARRAH RZ F1,https://www.tosci.go.tz/seed-varieties/jarrah-rz-f1,JARRAH RZ F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,Rijk Zwaan Afrisem Ltd,,,,,,,,,,,,,{}
JD64,https://www.tosci.go.tz/seed-varieties/jd64,JD64,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2024,JWD Agro Inputs Centre,500-1700,500.0,1700.0,low-medium,7.4,7.4,,Inakomaa kwa wastani wa siku 120;,,,,,{}
Jelly,https://www.tosci.go.tz/seed-varieties/jelly,Jelly,Round Potato (Solanum tuberosum),Round Potato,Solanum tuberosum,Round Potato (Solanum tuberosum),2017,Mtanga Foods Ltd,800-2000,800.0,2000.0,All areas grown iround potato,35.9,35.9,,,,,,,"{""Special Attributes"": ""Tolerance to Potato Late blight, Potato leaf blight  and   Potato Virus, Good storability, Used for French fries, Good marketable""}"
JESCA,https://www.tosci.go.tz/seed-varieties/jesca,JESCA,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),1997,ARI Selian,1000-1500,1000.0,1500.0,"Arusha, Kilimanjaro, Tanga",2.0-3.4,2.0,3.4,"Days to maturity: 80-85, Days to 50 % flowering: 35",,,,,"{""Special Attributes"": ""Resistant to anthracnose, Bean Common Mosaic Virus and halo blight, moderately resistant to bean rust, angular leaf spot, common bacterial blight""}"
Jitihada,https://www.tosci.go.tz/seed-varieties/jitihada,Jitihada,Sweet potatoes (Ipomea batatas L.),Sweet potatoes,Ipomea batatas L.,Sweet potatoes (Ipomea batatas L.),2000,ARI Ukiriguru,0-2000,0.0,2000.0,"Mwanza, Kagera, Shinyanga, Tabora",10.0-25.0,10.0,25.0,"Plant type: Semi-compact, Vine predominant mature colour: Green, Vine tip pubescence: Moderate, Mature leaf shape: Lobed, Leaf shape of mature lobe: Linear (narrow), Storage root shape: Oblong, Storage root skin colour (predominant): White, Storage root flesh colour (predominant): white, Storage root arrangements: open cluster",,,,,"{""Special Attributes"": ""Moderately resistant to sweet potato feathery mottle virus, sweet potato sunken vein virus, and sweet potato mild mottle virus, Moderately resistant to weevils.""}"
Johari,https://www.tosci.go.tz/seed-varieties/johari,Johari,Ground nut (Arachis hypogeae L.),Ground nut,Arachis hypogeae L.,Ground nut (Arachis hypogeae L.),1985,ARI Naliendele,< 1500,1500.0,,"Mtwara, Lindi, Morogoro, Tanga",1.3,1.3,,"Leaf colour: dark green,Leaflet shape: cunoate, Flower colour: yellow,Days to 50 % flowering:45,Pod break: deep, Pod constriction: moderate, Seed colour: tan, Growth habbit: decumbent, Plant colour: darkgreen",,,,,"{""Special Attributes"": ""Resistant to Cercospora leaf spot. Has seed dormancy.""}"
JOHARI F1,https://www.tosci.go.tz/seed-varieties/johari-f1,JOHARI F1,Hot pepper (Capsicum annuum ),Hot pepper,Capsicum annuum,Hot pepper (Capsicum annuum ),2021,East West Seed (T)Limited,,,,,,,,,,,,,{}
Joli,https://www.tosci.go.tz/seed-varieties/joli,Joli,Wheat (Triticum aestivum.L),Wheat,Triticum aestivum.L,Wheat (Triticum aestivum.L),1977,ARI Selian,1283-2400,1283.0,2400.0,"Arusha, Manyara, Iringa, Mbeya",2.0-3.0,2.0,3.0,"Leaf glaucosity: weak, Growth habit: upright, Culm glaucosity: medium, Steam node pubescence: absent, Auricle pubescence: weak, Sheath glaucosity: strong, Spike shape: fusion, Spike density: lax, Spike glaucosity: weak, Awns: awned, Glume pubescence:absent, Glume colour:grass green, Plant height:85 cm, Awn colour: white, Spike attitude: nodding, Kernel colour:white, Kernel shape: ovate",,85.0,,,"{""Special Attributes"": ""Moderately resistant to yellow rust.""}"
Juhudi No:1,https://www.tosci.go.tz/seed-varieties/juhudi-no-1,Juhudi No:1,Wheat (Triticum aestivum.L),Wheat,Triticum aestivum.L,Wheat (Triticum aestivum.L),1987,TANWAT,1700-2200,1700.0,2200.0,"Iringa, Mbeya",3.0-4.0,3.0,4.0,-Days to maturity: 90-110,,,,,"{""Special Attributes"": ""Resistant to all yellow, stem and leaf rusts. Resistant  to Septoria""}"
JULIANA F1,https://www.tosci.go.tz/seed-varieties/juliana-f1,JULIANA F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,KIBO SEEDS Co. Ltd.,,,,,,,,,,,,,{}
JUPITA F1,https://www.tosci.go.tz/seed-varieties/jupita-f1,JUPITA F1,Cucumber (Cucumis sativus),Cucumber,Cucumis sativus,Cucumber (Cucumis sativus),2024,Vetagro EA Ltd,,,,,,,,,,,,,{}
K 326,https://www.tosci.go.tz/seed-varieties/k-326,K 326,Tobacco (Nicotiana tabacum L.),Tobacco,Nicotiana tabacum L.,Tobacco (Nicotiana tabacum L.),2006,Tanzania Leaf Tobacco Company,900-1500,900.0,1500.0,"Tabora, Shinyanga, Ruvuma",0.125,0.125,,"Coleoptile hairiness: present, Leaf colour at maturity: green,,Leaf colour at curing: deep orange, Leaf hairiness: 80 %,Stem colour: pale green, Stem strength: not very strong, Plant hairiness: 80 %, Plant height: 70 cm, Days to flowering: 70 %, Flower colour: white-pink or pink, Capsule colour at maturity: dark brown, Seed colour: dark brown",,70.0,,pale green,"{""Special Attributes"": ""Moderately susceptible to root knot nematodes.,Slightly susceptible to tobacco mosaic virus (TMV), frog \u2013eye and Alternaria""}"
K6Q,https://www.tosci.go.tz/seed-varieties/k6q,K6Q,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2013,Aminata Quality Seed and Consultancy  Ltd,0 - 1600,0.0,1600.0,Medium altitude,5 – 7t/ha,5.0,7.0,Maturity 100 -110 days,,,,,"{""Special Attributes"": ""Resistant to Leaf rust,  Leaf blight,  Gray Leaf spot,Good poundability,It has high content of amino acid""}"
Kabanima,https://www.tosci.go.tz/seed-varieties/kabanima,Kabanima,,,,,1980,ARI Uyole,1200-1800,1200.0,1800.0,"Mbeya, Rukwa, Iringa, Morogoro",1.5-1.8,1.5,1.8,"Anthocyanin colouration: present, Leaf colour: green, Growth habbit: upright erect, Twining tendency: absent, Plant height (cm):40,Days to flowering:39, Flower colour: white, Pod colour at maturity: cream, Seed shape: kidney, Testa texture: smooth,Testa colour:mottled red, Seed size: large",,,,,"{""Special Attributes"": ""Resistant to anthracnose and rust""}"
Kabode,https://www.tosci.go.tz/seed-varieties/kabode,Kabode,Sweet potatoes (Ipomea batatas L.),Sweet potatoes,Ipomea batatas L.,Sweet potatoes (Ipomea batatas L.),2017,ARI – Ukiriguru,794-1549,794.0,1549.0,All areas growing sweetpotatoes,14.97,14.97,,,,,,,"{""Special Attributes"": ""Orange fleshed, precursor of Vitamin A, High yielding, Tolerant to pest and diseases""}"
Kagera F1,https://www.tosci.go.tz/seed-varieties/kagera-f1,Kagera F1,Watermelon (Citrulus lanatus),Watermelon,Citrulus lanatus,Watermelon (Citrulus lanatus),2023,EASI SEEDS T LTD,,,,,,,,,,,,,{}
Kakamega,https://www.tosci.go.tz/seed-varieties/kakamega,Kakamega,Sweet potatoes (Ipomea batatas L.),Sweet potatoes,Ipomea batatas L.,Sweet potatoes (Ipomea batatas L.),2013,ARI – Ukiriguru,800 - 1500,800.0,1500.0,All areas growing sweetpotatoes,17,17.0,,Maturity: 120 days,,,,,"{""Special Attributes"": ""Drought tolerant""}"
KALAMATA,https://www.tosci.go.tz/seed-varieties/kalamata,KALAMATA,Mpunga,Mpunga,,Mpunga,2025,TANZANIA AGRICULTURAL RESEARCH INSTITUTE,,,,,,,,,,,,,{}
Kame,https://www.tosci.go.tz/seed-varieties/kame,Kame,Barley (Hordeum vulgare L.),Barley,Hordeum vulgare L.,Barley (Hordeum vulgare L.),2004,TBL,1000-2000,1000.0,2000.0,"Arusha, Manyara",2.0-2.5,2.0,2.5,,,,,,{}
Karatu-1,https://www.tosci.go.tz/seed-varieties/karatu-1,Karatu-1,Pigeon pea (Cajanus cajan),Pigeon pea,Cajanus cajan,Pigeon pea (Cajanus cajan),2014,ARI Ilonga,600 - 1600,600.0,1600.0,Medium Altitude,1.3 - 1.4,1.3,1.4,,,,,,"{""Special Attributes"": ""Resistant to Fusarium wilt""}"
KARIBO,https://www.tosci.go.tz/seed-varieties/karibo,KARIBO,Cabbage (Brassica oleracea var. capitata  ),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata  ),2021,East African Seeds (T) Ltd.,,,,,,,,,,,,,{}
Kasala,https://www.tosci.go.tz/seed-varieties/kasala,Kasala,Cassava  (Manihot spp.),Cassava,Manihot spp.,Cassava  (Manihot spp.),2009,ARI-Ukiriguru,900-1800,900.0,1800.0,"Mwanza, Kagera, Shinyanga, Mara, Kigoma, Tabora",16-23,16.0,23.0,,,,,,"{""Special Attributes"": ""Resistant to CMD and CBSD""}"
Kaspidi,https://www.tosci.go.tz/seed-varieties/kaspidi,Kaspidi,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2016,IFFA Seed Company Ltd,600-1200,600.0,1200.0,Medium Altitude,6.1,6.1,,,,,,,"{""Special Attributes"": ""Tolerant to Grey leaf spot and  Maize streak virus""}"
KATRIN,https://www.tosci.go.tz/seed-varieties/katrin,KATRIN,Paddy (Oryza sativa),Paddy,Oryza sativa,Paddy (Oryza sativa),,KATRIN,400-1000,400.0,1000.0,"Morogoro, Pwani, Tanga, Lindi, Mtwara",,,,"Leaf blade pubescence: intermediate, Culm angle:erect, Flage leaf angle:erect, Panicle type: compact, Second branching, Awn presence:absent, Scent (aroma):not scented, Plant height: medium statured",,,,,"{""Special Attributes"": ""Very low panicle shattering""}"
Katumani,https://www.tosci.go.tz/seed-varieties/katumani,Katumani,Maize (Zea mays L),Maize,Zea mays L,Maize (Zea mays L),Late 1950’s,KARI - Katumani,<1500,1500.0,,"Morogoro, Dodoma, Pwani, Kilimanjaro, Rukwa, Arusha, Tanga, Mtwara",3.0-3.5,3.0,3.5,"Plant height (cm): 90-160,
Leaf orientation: at 60o - 80o,
Days to 50% tasseling: 40-52, 
Tassel colour: mostly white,
Days to 50% silking:44-56,
Silk colour: white (98%), other (2%).",40.0,,,,"{""Special Attributes"": ""Suitable in areas with short rainfall""}"
KAVERI 254 F1,https://www.tosci.go.tz/seed-varieties/kaveri-254-f1,KAVERI 254 F1,Sweet pepper (Capsicum annuum),Sweet pepper,Capsicum annuum,Sweet pepper (Capsicum annuum),2021,East West Seed (T)Limited,,,,,,,,,,,,,{}
KAZINGA RZ F1,https://www.tosci.go.tz/seed-varieties/kazinga-rz-f1,KAZINGA RZ F1,African eggplant (Solanum aethiopicum),African eggplant,Solanum aethiopicum,African eggplant (Solanum aethiopicum),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
KAZURI F1,https://www.tosci.go.tz/seed-varieties/kazuri-f1,KAZURI F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,East African Seeds (T) Ltd,,,,,,,,,,,,,{}
KCLRHODES,https://www.tosci.go.tz/seed-varieties/kclrhodes,KCLRHODES,Boma Rhodes (Chloris gayana),Boma Rhodes,Chloris gayana,Boma Rhodes (Chloris gayana),2024,Kibo Seed Co Ltd,1000-2500,1000.0,2500.0,Medium-High,10.0-18.0,10.0,18.0,Ina kiwango kikubwa cha wanga (10-16 tDM/ha),,,,,{}
KENGELE F1,https://www.tosci.go.tz/seed-varieties/kengele-f1,KENGELE F1,Sweet pepper (Capsicum annuum),Sweet pepper,Capsicum annuum,Sweet pepper (Capsicum annuum),2021,BALTON Tanzania Ltd.,,,,,,,,,,,,,{}
KENIA RZ,https://www.tosci.go.tz/seed-varieties/kenia-rz,KENIA RZ,Letuce (Lactuca sativa  ),Letuce,Lactuca sativa,Letuce (Lactuca sativa  ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
Kenya Fedha,https://www.tosci.go.tz/seed-varieties/kenya-fedha,Kenya Fedha,Sunflower (Helianthus annus L.),Sunflower,Helianthus annus L.,Sunflower (Helianthus annus L.),2006,Kenya Seed Co. Ltd,1500 - 2250,1500.0,2250.0,"Morogoro, Pwani, Dodoma, Singida, Iringa",3.0 – 3.5,3.0,3.5,"Leaf shape: Flat, Depth of margin indentations, Deep to medium, Blade altitude: Scabrous, Corolla colour: Yellowish, Anther colour: Yellow, Pericarp main colour: Black, Stripe colour: Gray",,,,,"{""Special Attributes"": ""Moderately resistant to Septoria helianth, Altenaria spp and Sunflower Viral Diseases, Has wide adaptation (from coastal to highlands), good lodging resistance and stress tolerance""}"
KERIKO RZ 81,https://www.tosci.go.tz/seed-varieties/keriko-rz-81,KERIKO RZ 81,African eggplant (Solanum aethiopicum),African eggplant,Solanum aethiopicum,African eggplant (Solanum aethiopicum),2021,Rijik Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
KESHAV F1,https://www.tosci.go.tz/seed-varieties/keshav-f1,KESHAV F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2022,BEULA SEED COMPANY,,,,,,,,,,,,,{}
KH 500-  43A,https://www.tosci.go.tz/seed-varieties/kh-500-43a,KH 500-  43A,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2014,East Africa Seed (T) Ltd,600 - 1500,600.0,1500.0,Medium altitude,5-7.0,5.0,7.0,Maturity: 100 days,,,,,"{""Special Attributes"": ""Tolerance to GLS, leaf rust and maize streak diseases,Good poundability""}"
KH 600-15A,https://www.tosci.go.tz/seed-varieties/kh-600-15a,KH 600-15A,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2012,East Africa Seed (T) Ltd,2000 - 3000,2000.0,3000.0,Medium altitude,8 - 10t/ha,8.0,10.0,Maturity 115 days,,,,,"{""Special Attributes"": ""Resistant to Leaf rust,  Maize streak  and Gray Leaf Spot,Resistant to lodging, Tolerant to drought""}"
Kibaha,https://www.tosci.go.tz/seed-varieties/kibaha,Kibaha,Cassava  (Manihot spp.),Cassava,Manihot spp.,Cassava  (Manihot spp.),,SRI Kibaha,0-1000,0.0,1000.0,"Pwani, Morogoro, Lindi, Mtwara, Tanga",30,30.0,,"Outer skin root colour: dark brown, Inner skin root colour: cream, Ground storability: 12-15 months, Time of root biodegradation: starts after 6 day from harvesting",,,,,"{""Special Attributes"": ""Resistant to drought, moderate resistant to Cassava Mottle Virus and Cassava Brown spot diseases, Resistant to Cassava Green Mottle pest, Ecological adaptability: Humid sub-humid (coastal areas) tested for more than 15 years""}"
Kibo,https://www.tosci.go.tz/seed-varieties/kibo,Kibo,Barley (Hordeum vulgare L.),Barley,Hordeum vulgare L.,Barley (Hordeum vulgare L.),1991,ARI Selian,1300-1900,1300.0,1900.0,"Arusha, Manyara",3.5-4.0,3.5,4.0,"Growth type: erect, Colour of leaves : green, Tillering capacity: moderate, Spike: spikelets have long awns, Colour of spike at grain filling: light green, Awns colour: light green, Hairiness of awns: rough",,,,,"{""Special Attributes"": ""Moderate malting quality, Resistant to powdery mildew, loose and covered smut, Resistant to leaf and stem rusts.""}"
Kibo Star F1,https://www.tosci.go.tz/seed-varieties/kibo-star-f1,Kibo Star F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2023,East West Seed,,,,,,,,,,,,,{}
Kiboko,https://www.tosci.go.tz/seed-varieties/kiboko-2,Kiboko,Tomato (Lycopersicon lycopersicum Mill.),Tomato,Lycopersicon lycopersicum Mill.,Tomato (Lycopersicon lycopersicum Mill.),2008,HORTI Tengeru,500-1500,500.0,1500.0,"Morogoro, Pwani, Dodoma, Singida, Iringa",50 – 100,50.0,100.0,"Maturity: 90 – 100 days,Resistant to late blight",,,,,{}
KIBOKO F1,https://www.tosci.go.tz/seed-varieties/kiboko-f1,KIBOKO F1,Cabbage (Brassica oleracea var. capitata  ),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata  ),2021,Ultravetis Tanzania Ltd,,,,,,,,,,,,,{}
KIDE F1,https://www.tosci.go.tz/seed-varieties/kide-f1,KIDE F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2022,ARYSTA LIFESCIENCE LTD,,,,,,,,,,,,,{}
Kiegea,https://www.tosci.go.tz/seed-varieties/kiegea,Kiegea,Sweet potatoes (Ipomea batatas L.),Sweet potatoes,Ipomea batatas L.,Sweet potatoes (Ipomea batatas L.),2011,ARI Kibaha,0-1000,0.0,1000.0,"Pwani, Morogoro",44908,44908.0,,Maturity: 4 months,,,,,"{""Special Attributes"": ""It has high content of Vitamin A, ( Beta-carotene)""}"
KIJANI F1,https://www.tosci.go.tz/seed-varieties/kijani-f1,KIJANI F1,Okra (Abelmoschus esculentus  ),Okra,Abelmoschus esculentus,Okra (Abelmoschus esculentus  ),2021,BALTON Tanzania Ltd.,,,,,,,,,,,,,{}
KIJANI KIZURI,https://www.tosci.go.tz/seed-varieties/kijani-kizuri,KIJANI KIZURI,Okra (Abelmoschus esculentus  ),Okra,Abelmoschus esculentus,Okra (Abelmoschus esculentus  ),2021,AFRICASIA Seed CO. LTD,,,,,,,,,,,,,{}
Kikatiti,https://www.tosci.go.tz/seed-varieties/kikatiti,Kikatiti,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2024,Sokoine University Of Agriculture,500-above,500.0,,Low-Medium,1.5-2.5,1.5,2.5,"Inakomaa kati ya siku 80-90, Inastahimili magonjwa ya Angular Leaf Spot; Bean Common Mosaic Virus; Common Bacterial Blight and Rust diseases",,,,,{}
KILELE,https://www.tosci.go.tz/seed-varieties/kilele,KILELE,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,Syngenta Tanzania Ltd,,,,,,,,,,,,,{}
Kilima St,https://www.tosci.go.tz/seed-varieties/kilima-st,Kilima St,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),1983,ARI - Ilonga,900 -1500,900.0,1500.0,"Kilimanjaro, Katumani, Mwanza, Morogoro, Arusha, Tanga, Mtwara",5.0- 6.0,5.0,6.0,,,,,,"{""Special Attributes"": ""Streak tolerant""}"
Kimbo F1,https://www.tosci.go.tz/seed-varieties/kimbo-f1,Kimbo F1,Sweet pepper (Capsicum annum L.),Sweet pepper,Capsicum annum L.,Sweet pepper (Capsicum annum L.),2023,Epinav Agricultural Solution,,,,,,,,,,,,,{}
KIPATO,https://www.tosci.go.tz/seed-varieties/kipato,KIPATO,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,East West Seed (T)Limited,,,,,,,,,,,,,{}
Kipusa,https://www.tosci.go.tz/seed-varieties/kipusa,Kipusa,Cassava  (Manihot spp.),Cassava,Manihot spp.,Cassava  (Manihot spp.),2014,ARI Kibaha,0-750,0.0,750.0,Eastern and Central Zones,18.6,18.6,,,,,,,"{""Special Attributes"": ""Resistant to Cassava Mosaic Disease CMD) and Casssava Brown Streak Disease (CBSD)""}"
Kiroba,https://www.tosci.go.tz/seed-varieties/kiroba,Kiroba,Cassava  (Manihot spp.),Cassava,Manihot spp.,Cassava  (Manihot spp.),2004,SRI Kibaha,0-1400,0.0,1400.0,Low to Medium,26,26.0,,"Outer skin root colour: dark brown, Inner skin root colour: cream, Ground storability: 12-15 months, Inner skin root colour: purple,Ground storability: 10-12 months, Time to root biodegradation: starts after 4 day from harvesting",,,,,"{""Special Attributes"": ""Ecological adaptability: Humid sub-humid (coastal areas),High yielding variety""}"
Kisongo,https://www.tosci.go.tz/seed-varieties/kisongo,Kisongo,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2016,IFFA Seed Company Ltd,600-1200,600.0,1200.0,Medium Altitude,6.8,6.8,,,,,,,"{""Special Attributes"": ""Tolerant to Grey leaf spot and  Maize streak virus""}"
KITO F1,https://www.tosci.go.tz/seed-varieties/kito-f1,KITO F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,SEEDCO TZ Ltd.,,,,,,,,,,,,,{}
Kizimbani,https://www.tosci.go.tz/seed-varieties/kizimbani,Kizimbani,Cassava  (Manihot spp.),Cassava,Manihot spp.,Cassava  (Manihot spp.),2014,ARI Kibaha,0-1400,0.0,1400.0,Low to Medium,15.3,15.3,,,,,,,"{""Special Attributes"": ""Resistant to Cassava Mosaic Disease CMD) and Casssava Brown Streak Disease (CBSD)""}"
KKS 501,https://www.tosci.go.tz/seed-varieties/kks-501,KKS 501,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2019,Andrew Henderson,,,,,,,,,,,,,"{""Special Attributes"": ""White Hybrid""}"
KKS 507,https://www.tosci.go.tz/seed-varieties/kks-507,KKS 507,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2019,Andrew Henderson,,,,,,,,,,,,,"{""Special Attributes"": ""White Hybrid""}"
KKS 603,https://www.tosci.go.tz/seed-varieties/kks-603,KKS 603,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2019,Andrew Henderson,,,,,,,,,,,,,"{""Special Attributes"": ""White Hybrid""}"
KKS3864,https://www.tosci.go.tz/seed-varieties/kks3864,KKS3864,Lucerne (Medicago sativa),Lucerne,Medicago sativa,Lucerne (Medicago sativa),2024,Kibo Seed Co Ltd,1600-2000,1600.0,2000.0,Medium-High,9.0-10.0,9.0,10.0,Inastawi ukanda wenye ukame kati ya siku 30-45 na Ina kiwango kikubwa cha wanga (10-16 tDM/ha),,,,,{}
KLEE RZ,https://www.tosci.go.tz/seed-varieties/klee-rz,KLEE RZ,Letuce (Lactuca sativa  ),Letuce,Lactuca sativa,Letuce (Lactuca sativa  ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
Komboa,https://www.tosci.go.tz/seed-varieties/komboa,Komboa,Pigeon pea (Cajanus cajan),Pigeon pea,Cajanus cajan,Pigeon pea (Cajanus cajan),1999,ARI Ilonga,<1500,1500.0,,"Morogoro, Pwani, Mtwara",4.0 (grain) and 10.0 (green pods),4.0,,"Growth habbit: compact, Plant height (cm): 100, Days to flowering:65 (under optimum temp. 20-240C), Base flower colour: red (exterior),Second flower colour: orange (interior),Duration of flowering: sychronous, Pod colour: green with slight striples, Seed colour pattern: mottled, Seed eye colour: brown, Base seed colour: white (cream), Seed second colour: brown",,,,,"{""Special Attributes"": ""Early maturing variety""}"
Komboka,https://www.tosci.go.tz/seed-varieties/komboka,Komboka,Paddy (Oryza sativa),Paddy,Oryza sativa,Paddy (Oryza sativa),2012,KATRIN,0- 1300,0.0,1300.0,,5- 6t/ha,5.0,6.0,Maturity,,,,,"{""Special Attributes"": ""It has good aroma, Resistant to Rice Yellow Mottle Virus, bacterial Leaf spot and Bacterial leaf blast""}"
