/Users/deusjohn/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

=======================================================
  TOSCI DETAILED SCRAPER — SHAMBA SMART
  Website: https://tosci.go.tz/seed-varieties
=======================================================

  Reusing existing list: /Users/deusjohn/Documents/Shamba smart/scripts/output/tosci_list.csv
  Loaded 1174 varieties from cache

=======================================================
  PHASE 2 — Scraping variety detail pages
=======================================================
  [ 313/1174] H 6                            Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 314/1174] H 7                            Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 315/1174] H 8                            Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 316/1174] H 9                            Cashew | — | yield:10 kg/tree after 5 years (first harvest)
  [ 317/1174] H.11648                        Sisal | — | yield:—
  [ 318/1174] H513                           Maize | Arusha,Kilimanjaro | yield:7.0 – 8.5
  [ 319/1174] H614                           Maize | Mbeya,Ruvuma | yield:7
  [ 320/1174] H6213                          Maize | Medium-High | yield:7.9
  [ 321/1174] H622                           Maize | Pwani,Tanga | yield:6.0-7.0
  [ 322/1174] H624                           Maize | Medium-High | yield:7.3
  [ 323/1174] H628                           Maize | Pwani,Tanga | yield:9.0-12.0
  [ 324/1174] H6302                          Maize | Mbeya,Ruvuma | yield:8.0- 8.5
  [ 325/1174] HABIB                          Hot pepper | — | yield:—
  [ 326/1174] Hakika                         Sorghum | Morogoro,Dodoma | yield:3.5
